,Stu_Index,CardNo,Sex,Major,AccessCardNo,Acc_Index,Date,Address,Access,Describe
18,154,180154,女,18会计,709322,1333829,2019/4/7 13:51,第六教学楼[出门],1,允许通过
19,154,180154,女,18会计,709322,1333877,2019/4/7 15:52,第六教学楼[进门],1,允许通过
20,154,180154,女,18会计,709322,1334052,2019/4/7 21:15,第六教学楼[出门],1,允许通过
21,154,180154,女,18会计,709322,1334061,2019/4/7 21:24,第六教学楼[进门],1,允许通过
22,154,180154,女,18会计,709322,1338860,2019/4/3 0:00,第六教学楼[进门],1,允许通过
23,154,180154,女,18会计,709322,1340401,2019/4/4 21:13,第六教学楼[进门],1,允许通过
24,154,180154,女,18会计,709322,1341510,2019/4/2 20:27,第六教学楼[出门],1,允许通过
25,154,180154,女,18会计,709322,1341552,2019/4/2 21:14,第六教学楼[进门],1,允许通过
26,154,180154,女,18会计,709322,1341738,2019/4/29 6:48,第六教学楼[进门],1,允许通过
27,154,180154,女,18会计,709322,1341740,2019/4/29 6:52,第六教学楼[出门],1,允许通过
28,154,180154,女,18会计,709322,1342174,2019/4/29 15:20,第六教学楼[进门],1,允许通过
29,154,180154,女,18会计,709322,1342591,2019/4/29 22:18,第六教学楼[出门],1,允许通过
30,154,180154,女,18会计,709322,1342608,2019/4/29 22:28,第六教学楼[进门],1,允许通过
31,154,180154,女,18会计,709322,1342940,2019/4/30 12:13,第六教学楼[出门],1,允许通过
32,154,180154,女,18会计,709322,1342952,2019/4/30 12:20,第六教学楼[进门],1,允许通过
33,154,180154,女,18会计,709322,1343364,2019/4/30 19:18,第六教学楼[进门],1,允许通过
34,154,180154,女,18会计,709322,1343592,2019/4/30 22:58,第六教学楼[出门],1,允许通过
35,154,180154,女,18会计,709322,1349748,2019/4/10 19:19,第六教学楼[出门],1,允许通过
36,154,180154,女,18会计,709322,1353587,2019/4/14 0:00,第六教学楼[出门],1,允许通过
37,154,180154,女,18会计,709322,1353611,2019/4/14 21:36,第六教学楼[进门],1,允许通过
38,154,180154,女,18会计,709322,1356967,2019/4/15 9:41,第六教学楼[出门],1,允许通过
39,154,180154,女,18会计,709322,1357561,2019/4/16 9:39,第六教学楼[出门],1,允许通过
40,154,180154,女,18会计,709322,1359498,2019/4/17 9:57,第六教学楼[进门],1,允许通过
41,154,180154,女,18会计,709322,1367575,2019/4/23 22:20,第六教学楼[进门],1,允许通过
42,187,180187,女,18会计,20602538,1334370,2019/4/1 19:02,飞凤轩[出门],1,允许通过
43,187,180187,女,18会计,20602538,1334512,2019/4/1 21:19,飞凤轩[进门],1,允许通过
44,187,180187,女,18会计,20602538,1335313,2019/4/5 20:35,飞凤轩[进门],1,允许通过
45,187,180187,女,18会计,20602538,1336538,2019/4/7 14:35,飞凤轩[进门],1,允许通过
46,187,180187,女,18会计,20602538,1339198,2019/4/3 18:51,飞凤轩[出门],1,允许通过
47,187,180187,女,18会计,20602538,1339479,2019/4/3 22:21,飞凤轩[进门],1,允许通过
48,187,180187,女,18会计,20602538,1341194,2019/4/2 9:35,飞凤轩[出门],1,允许通过
49,187,180187,女,18会计,20602538,1341311,2019/4/2 14:41,飞凤轩[进门],1,允许通过
50,187,180187,女,18会计,20602538,1344500,2019/4/29 10:35,飞凤轩[出门],1,允许通过
51,187,180187,女,18会计,20602538,1345479,2019/4/30 9:48,飞凤轩[出门],1,允许通过
52,187,180187,女,18会计,20602538,1345515,2019/4/30 10:23,飞凤轩[进门],1,允许通过
53,187,180187,女,18会计,20602538,1347256,2019/4/8 13:31,飞凤轩[进门],1,允许通过
54,187,180187,女,18会计,20602538,1348216,2019/4/8 21:25,飞凤轩[出门],1,允许通过
55,187,180187,女,18会计,20602538,1348294,2019/4/8 22:33,飞凤轩[进门],1,允许通过
56,187,180187,女,18会计,20602538,1348726,2019/4/9 19:41,飞凤轩[进门],1,允许通过
57,187,180187,女,18会计,20602538,1350324,2019/4/10 21:33,飞凤轩[出门],1,允许通过
58,187,180187,女,18会计,20602538,1354013,2019/4/12 19:26,飞凤轩[出门],1,允许通过
59,187,180187,女,18会计,20602538,1354043,2019/4/12 19:44,飞凤轩[进门],1,允许通过
60,187,180187,女,18会计,20602538,1355001,2019/4/13 20:28,飞凤轩[出门],1,允许通过
61,187,180187,女,18会计,20602538,1355944,2019/4/14 0:00,飞凤轩[出门],1,允许通过
62,187,180187,女,18会计,20602538,1361480,2019/4/18 21:56,飞凤轩[进门],1,允许通过
63,187,180187,女,18会计,20602538,1361750,2019/4/19 10:49,飞凤轩[进门],1,允许通过
64,187,180187,女,18会计,20602538,1362550,2019/4/19 18:58,飞凤轩[出门],1,允许通过
65,187,180187,女,18会计,20602538,1367815,2019/4/22 19:49,飞凤轩[出门],1,允许通过
66,187,180187,女,18会计,20602538,1367959,2019/4/22 21:56,飞凤轩[进门],1,允许通过
67,187,180187,女,18会计,20602538,1368575,2019/4/23 22:56,飞凤轩[进门],1,允许通过
68,187,180187,女,18会计,20602538,1370457,2019/4/25 22:00,飞凤轩[进门],1,允许通过
69,187,180187,女,18会计,20602538,1370483,2019/4/25 22:18,飞凤轩[进门],1,允许通过
70,187,180187,女,18会计,20602538,1373756,2019/4/27 2:13,飞凤轩[出门],1,允许通过
71,199,180199,女,18会计,20026282,1339023,2019/4/3 23:50,第六教学楼[进门],1,允许通过
72,199,180199,女,18会计,20026282,1340543,2019/4/4 23:49,第六教学楼[出门],1,允许通过
73,199,180199,女,18会计,20026282,1340568,2019/4/2 2:41,第六教学楼[进门],1,允许通过
74,199,180199,女,18会计,20026282,1349867,2019/4/10 21:32,第六教学楼[进门],1,允许通过
75,199,180199,女,18会计,20026282,1349876,2019/4/10 21:41,第六教学楼[出门],1,允许通过
76,199,180199,女,18会计,20026282,1357742,2019/4/16 22:20,第六教学楼[进门],1,允许通过
77,199,180199,女,18会计,20026282,1357775,2019/4/16 0:00,第六教学楼[进门],1,允许通过
78,219,180219,男,18金融管理,14963738,1366850,2019/4/21 15:16,青鸾苑[进门],1,允许通过
79,227,180227,男,18金融管理,20845322,1334469,2019/4/1 20:38,飞凤轩[出门],1,允许通过
80,227,180227,男,18金融管理,20845322,1334474,2019/4/1 20:43,飞凤轩[进门],1,允许通过
81,227,180227,男,18金融管理,20845322,1340330,2019/4/4 15:52,飞凤轩[出门],1,允许通过
82,227,180227,男,18金融管理,20845322,1341222,2019/4/2 9:50,飞凤轩[进门],1,允许通过
83,227,180227,男,18金融管理,20845322,1343760,2019/4/2 16:40,飞凤轩[出门],1,允许通过
84,227,180227,男,18金融管理,20845322,1343768,2019/4/2 16:46,飞凤轩[进门],1,允许通过
85,227,180227,男,18金融管理,20845322,1344992,2019/4/29 19:49,飞凤轩[出门],1,允许通过
86,227,180227,男,18金融管理,20845322,1346013,2019/4/30 22:14,飞凤轩[进门],1,允许通过
87,227,180227,男,18金融管理,20845322,1350238,2019/4/10 20:18,飞凤轩[出门],1,允许通过
88,227,180227,男,18金融管理,20845322,1358519,2019/4/16 9:37,飞凤轩[出门],1,允许通过
89,227,180227,男,18金融管理,20845322,1362468,2019/4/19 14:36,飞凤轩[出门],1,允许通过
90,227,180227,男,18金融管理,20845322,1370671,2019/4/26 0:00,飞凤轩[出门],1,允许通过
91,313,180313,女,18金融管理,21747610,1331409,2019/4/1 6:41,飞凤轩[出门],1,允许通过
92,313,180313,女,18金融管理,21747610,1334365,2019/4/1 0:00,飞凤轩[进门],1,允许通过
93,313,180313,女,18金融管理,21747610,1335221,2019/4/5 16:07,飞凤轩[出门],1,允许通过
94,313,180313,女,18金融管理,21747610,1335634,2019/4/6 10:59,飞凤轩[进门],1,允许通过
95,313,180313,女,18金融管理,21747610,1335845,2019/4/6 17:51,飞凤轩[进门],1,允许通过
96,313,180313,女,18金融管理,21747610,1336166,2019/4/7 7:22,飞凤轩[出门],1,允许通过
97,313,180313,女,18金融管理,21747610,1336239,2019/4/7 9:02,飞凤轩[进门],1,允许通过
98,313,180313,女,18金融管理,21747610,1336283,2019/4/7 10:20,飞凤轩[出门],1,允许通过
99,313,180313,女,18金融管理,21747610,1336284,2019/4/7 10:21,飞凤轩[进门],1,允许通过
100,313,180313,女,18金融管理,21747610,1336287,2019/4/7 10:24,飞凤轩[出门],1,允许通过
101,313,180313,女,18金融管理,21747610,1337236,2019/4/3 6:42,飞凤轩[出门],1,允许通过
102,313,180313,女,18金融管理,21747610,1340766,2019/4/4 0:00,飞凤轩[出门],1,允许通过
103,313,180313,女,18金融管理,21747610,1340980,2019/4/4 21:51,飞凤轩[进门],1,允许通过
104,313,180313,女,18金融管理,21747610,1343775,2019/4/2 16:51,飞凤轩[进门],1,允许通过
105,313,180313,女,18金融管理,21747610,1344056,2019/4/2 20:43,飞凤轩[出门],1,允许通过
106,313,180313,女,18金融管理,21747610,1344142,2019/4/2 21:59,飞凤轩[进门],1,允许通过
107,313,180313,女,18金融管理,21747610,1344477,2019/4/29 10:11,飞凤轩[出门],1,允许通过
108,313,180313,女,18金融管理,21747610,1345268,2019/4/30 6:50,飞凤轩[出门],1,允许通过
109,313,180313,女,18金融管理,21747610,1345316,2019/4/30 7:51,飞凤轩[进门],1,允许通过
110,313,180313,女,18金融管理,21747610,1346104,2019/4/8 6:33,飞凤轩[出门],1,允许通过
111,313,180313,女,18金融管理,21747610,1348356,2019/4/9 6:32,飞凤轩[出门],1,允许通过
112,313,180313,女,18金融管理,21747610,1348506,2019/4/9 10:52,飞凤轩[进门],1,允许通过
113,313,180313,女,18金融管理,21747610,1348976,2019/4/10 6:32,飞凤轩[出门],1,允许通过
114,313,180313,女,18金融管理,21747610,1354025,2019/4/12 19:32,飞凤轩[出门],1,允许通过
115,313,180313,女,18金融管理,21747610,1355225,2019/4/14 6:43,飞凤轩[出门],1,允许通过
116,313,180313,女,18金融管理,21747610,1355324,2019/4/14 8:37,飞凤轩[进门],1,允许通过
117,313,180313,女,18金融管理,21747610,1355670,2019/4/14 12:19,飞凤轩[出门],1,允许通过
118,313,180313,女,18金融管理,21747610,1355993,2019/4/14 19:30,飞凤轩[进门],1,允许通过
119,313,180313,女,18金融管理,21747610,1356363,2019/4/15 6:35,飞凤轩[出门],1,允许通过
120,313,180313,女,18金融管理,21747610,1358431,2019/4/16 6:39,飞凤轩[出门],1,允许通过
121,313,180313,女,18金融管理,21747610,1358770,2019/4/16 19:12,飞凤轩[进门],1,允许通过
122,313,180313,女,18金融管理,21747610,1361245,2019/4/18 19:09,飞凤轩[出门],1,允许通过
123,313,180313,女,18金融管理,21747610,1361708,2019/4/19 9:56,飞凤轩[进门],1,允许通过
124,313,180313,女,18金融管理,21747610,1365034,2019/4/20 15:55,飞凤轩[进门],1,允许通过
125,313,180313,女,18金融管理,21747610,1365035,2019/4/20 15:55,飞凤轩[进门],1,允许通过
126,313,180313,女,18金融管理,21747610,1365547,2019/4/21 6:56,飞凤轩[出门],1,允许通过
127,313,180313,女,18金融管理,21747610,1365593,2019/4/21 7:59,飞凤轩[进门],1,允许通过
128,313,180313,女,18金融管理,21747610,1367903,2019/4/22 21:19,飞凤轩[进门],1,允许通过
129,313,180313,女,18金融管理,21747610,1368083,2019/4/23 6:45,飞凤轩[出门],1,允许通过
130,313,180313,女,18金融管理,21747610,1368629,2019/4/24 6:42,飞凤轩[出门],1,允许通过
131,313,180313,女,18金融管理,21747610,1369324,2019/4/25 6:40,飞凤轩[出门],1,允许通过
132,313,180313,女,18金融管理,21747610,1370370,2019/4/25 21:04,飞凤轩[进门],1,允许通过
133,313,180313,女,18金融管理,21747610,1374584,2019/4/28 9:20,飞凤轩[出门],1,允许通过
134,315,180315,女,18金融管理,19220058,1331765,2019/4/1 3:56,青鸾苑[进门],1,允许通过
135,315,180315,女,18金融管理,19220058,1337606,2019/4/1 22:12,青鸾苑[进门],1,允许通过
136,315,180315,女,18金融管理,19220058,1337756,2019/4/5 13:34,青鸾苑[进门],1,允许通过
137,315,180315,女,18金融管理,19220058,1340159,2019/4/4 15:18,青鸾苑[出门],1,允许通过
138,315,180315,女,18金融管理,19220058,1346351,2019/4/2 20:38,青鸾苑[出门],1,允许通过
139,315,180315,女,18金融管理,19220058,1346573,2019/4/29 13:37,青鸾苑[出门],1,允许通过
140,315,180315,女,18金融管理,19220058,1347312,2019/4/8 11:36,青鸾苑[进门],1,允许通过
141,315,180315,女,18金融管理,19220058,1347322,2019/4/8 0:00,青鸾苑[出门],1,允许通过
142,315,180315,女,18金融管理,19220058,1349029,2019/4/8 19:34,青鸾苑[进门],1,允许通过
143,315,180315,女,18金融管理,19220058,1349034,2019/4/8 19:38,青鸾苑[出门],1,允许通过
144,315,180315,女,18金融管理,19220058,1349102,2019/4/8 22:51,青鸾苑[进门],1,允许通过
145,315,180315,女,18金融管理,19220058,1349247,2019/4/9 19:49,青鸾苑[出门],1,允许通过
146,315,180315,女,18金融管理,19220058,1349628,2019/4/10 12:09,青鸾苑[出门],1,允许通过
147,315,180315,女,18金融管理,19220058,1350726,2019/4/10 20:33,青鸾苑[进门],1,允许通过
148,315,180315,女,18金融管理,19220058,1350855,2019/4/11 13:11,青鸾苑[出门],1,允许通过
149,315,180315,女,18金融管理,19220058,1351729,2019/4/11 20:14,青鸾苑[出门],1,允许通过
150,315,180315,女,18金融管理,19220058,1356411,2019/4/12 11:28,青鸾苑[进门],1,允许通过
151,315,180315,女,18金融管理,19220058,1356573,2019/4/13 12:49,青鸾苑[出门],1,允许通过
152,315,180315,女,18金融管理,19220058,1356588,2019/4/13 13:18,青鸾苑[进门],1,允许通过
153,315,180315,女,18金融管理,19220058,1366764,2019/4/21 12:54,青鸾苑[出门],1,允许通过
154,315,180315,女,18金融管理,19220058,1367023,2019/4/21 21:45,青鸾苑[进门],1,允许通过
155,315,180315,女,18金融管理,19220058,1369538,2019/4/24 12:27,青鸾苑[出门],1,允许通过
156,315,180315,女,18金融管理,19220058,1369552,2019/4/24 12:54,青鸾苑[进门],1,允许通过
157,315,180315,女,18金融管理,19220058,1369600,2019/4/24 0:00,青鸾苑[进门],1,允许通过
158,315,180315,女,18金融管理,19220058,1369756,2019/4/25 17:01,青鸾苑[进门],1,允许通过
159,315,180315,女,18金融管理,19220058,1370699,2019/4/25 20:04,青鸾苑[出门],1,允许通过
160,315,180315,女,18金融管理,19220058,1370830,2019/4/26 13:05,青鸾苑[出门],1,允许通过
161,315,180315,女,18金融管理,19220058,1370839,2019/4/26 13:36,青鸾苑[进门],1,允许通过
162,315,180315,女,18金融管理,19220058,1376176,2019/4/26 0:00,青鸾苑[出门],1,允许通过
163,315,180315,女,18金融管理,19220058,1376178,2019/4/26 21:15,青鸾苑[进门],1,允许通过
164,315,180315,女,18金融管理,19220058,1376378,2019/4/27 13:41,青鸾苑[出门],1,允许通过
165,320,180320,女,18金融管理,21456458,1344737,2019/4/29 17:39,飞凤轩[出门],1,允许通过
166,320,180320,女,18金融管理,21456458,1347922,2019/4/8 0:00,飞凤轩[进门],1,允许通过
167,320,180320,女,18金融管理,21456458,1353874,2019/4/12 13:04,飞凤轩[出门],1,允许通过
168,320,180320,女,18金融管理,21456458,1360571,2019/4/18 14:39,飞凤轩[进门],1,允许通过
169,320,180320,女,18金融管理,21456458,1363133,2019/4/20 14:11,飞凤轩[出门],1,允许通过
170,320,180320,女,18金融管理,21456458,1363146,2019/4/20 14:22,飞凤轩[进门],1,允许通过
171,320,180320,女,18金融管理,21456458,1365310,2019/4/20 20:02,飞凤轩[进门],1,允许通过
172,320,180320,女,18金融管理,21456458,1366106,2019/4/21 0:00,飞凤轩[进门],1,允许通过
173,320,180320,女,18金融管理,21456458,1368094,2019/4/23 8:24,飞凤轩[进门],1,允许通过
174,320,180320,女,18金融管理,21456458,1368097,2019/4/23 8:34,飞凤轩[出门],1,允许通过
175,323,180323,女,18金融管理,19432954,1341388,2019/4/2 16:07,飞凤轩[出门],1,允许通过
176,323,180323,女,18金融管理,19432954,1344141,2019/4/2 21:58,飞凤轩[进门],1,允许通过
177,323,180323,女,18金融管理,19432954,1344964,2019/4/29 19:35,飞凤轩[进门],1,允许通过
178,323,180323,女,18金融管理,19432954,1345340,2019/4/30 0:00,飞凤轩[出门],1,允许通过
179,323,180323,女,18金融管理,19432954,1345568,2019/4/30 0:00,飞凤轩[出门],1,允许通过
180,323,180323,女,18金融管理,19432954,1348173,2019/4/8 20:59,飞凤轩[进门],1,允许通过
181,323,180323,女,18金融管理,19432954,1348801,2019/4/9 21:13,飞凤轩[进门],1,允许通过
182,323,180323,女,18金融管理,19432954,1351638,2019/4/11 23:20,飞凤轩[进门],1,允许通过
183,323,180323,女,18金融管理,19432954,1351872,2019/4/12 9:20,飞凤轩[出门],1,允许通过
184,323,180323,女,18金融管理,19432954,1354984,2019/4/13 20:18,飞凤轩[进门],1,允许通过
185,323,180323,女,18金融管理,19432954,1355330,2019/4/14 8:44,飞凤轩[出门],1,允许通过
186,323,180323,女,18金融管理,19432954,1355335,2019/4/14 8:47,飞凤轩[进门],1,允许通过
187,323,180323,女,18金融管理,19432954,1355681,2019/4/14 12:24,飞凤轩[出门],1,允许通过
188,323,180323,女,18金融管理,19432954,1356020,2019/4/14 19:44,飞凤轩[进门],1,允许通过
189,323,180323,女,18金融管理,19432954,1358954,2019/4/16 21:36,飞凤轩[进门],1,允许通过
190,323,180323,女,18金融管理,19432954,1359161,2019/4/17 8:49,飞凤轩[出门],1,允许通过
191,323,180323,女,18金融管理,19432954,1360225,2019/4/17 21:48,飞凤轩[进门],1,允许通过
192,323,180323,女,18金融管理,19432954,1362528,2019/4/19 0:00,飞凤轩[出门],1,允许通过
193,323,180323,女,18金融管理,19432954,1365634,2019/4/21 8:33,飞凤轩[出门],1,允许通过
194,323,180323,女,18金融管理,19432954,1365648,2019/4/21 8:52,飞凤轩[进门],1,允许通过
195,323,180323,女,18金融管理,19432954,1374341,2019/4/27 20:19,飞凤轩[出门],1,允许通过
196,323,180323,女,18金融管理,19432954,1374824,2019/4/28 21:40,飞凤轩[进门],1,允许通过
197,323,180323,女,18金融管理,19432954,1374848,2019/4/28 22:09,飞凤轩[出门],1,允许通过
198,336,180336,女,18金融管理,20435898,1331569,2019/4/1 0:00,飞凤轩[进门],1,允许通过
199,336,180336,女,18金融管理,20435898,1334819,2019/4/5 8:54,飞凤轩[出门],1,允许通过
200,336,180336,女,18金融管理,20435898,1335326,2019/4/5 20:48,飞凤轩[进门],1,允许通过
201,336,180336,女,18金融管理,20435898,1337093,2019/4/7 21:35,飞凤轩[进门],1,允许通过
202,336,180336,女,18金融管理,20435898,1339270,2019/4/3 19:27,飞凤轩[进门],1,允许通过
203,336,180336,女,18金融管理,20435898,1339339,2019/4/3 20:28,飞凤轩[出门],1,允许通过
204,336,180336,女,18金融管理,20435898,1339877,2019/4/4 9:40,飞凤轩[出门],1,允许通过
205,336,180336,女,18金融管理,20435898,1340044,2019/4/4 13:23,飞凤轩[进门],1,允许通过
206,336,180336,女,18金融管理,20435898,1340076,2019/4/4 13:42,飞凤轩[出门],1,允许通过
207,336,180336,女,18金融管理,20435898,1340325,2019/4/4 15:48,飞凤轩[进门],1,允许通过
208,336,180336,女,18金融管理,20435898,1341301,2019/4/2 13:54,飞凤轩[进门],1,允许通过
209,336,180336,女,18金融管理,20435898,1344389,2019/4/29 8:48,飞凤轩[出门],1,允许通过
210,336,180336,女,18金融管理,20435898,1344738,2019/4/29 17:40,飞凤轩[进门],1,允许通过
211,336,180336,女,18金融管理,20435898,1345079,2019/4/29 20:49,飞凤轩[出门],1,允许通过
212,336,180336,女,18金融管理,20435898,1345454,2019/4/30 9:30,飞凤轩[出门],1,允许通过
213,336,180336,女,18金融管理,20435898,1345528,2019/4/30 10:37,飞凤轩[进门],1,允许通过
214,336,180336,女,18金融管理,20435898,1345737,2019/4/30 19:18,飞凤轩[出门],1,允许通过
215,336,180336,女,18金融管理,20435898,1345967,2019/4/30 21:48,飞凤轩[进门],1,允许通过
216,336,180336,女,18金融管理,20435898,1348400,2019/4/9 9:14,飞凤轩[出门],1,允许通过
217,336,180336,女,18金融管理,20435898,1348717,2019/4/9 19:16,飞凤轩[出门],1,允许通过
218,336,180336,女,18金融管理,20435898,1350645,2019/4/11 13:10,飞凤轩[进门],1,允许通过
219,336,180336,女,18金融管理,20435898,1351372,2019/4/11 19:39,飞凤轩[进门],1,允许通过
220,336,180336,女,18金融管理,20435898,1351447,2019/4/11 20:53,飞凤轩[出门],1,允许通过
221,336,180336,女,18金融管理,20435898,1351597,2019/4/11 22:34,飞凤轩[进门],1,允许通过
222,336,180336,女,18金融管理,20435898,1351875,2019/4/12 9:26,飞凤轩[出门],1,允许通过
223,336,180336,女,18金融管理,20435898,1354499,2019/4/13 9:04,飞凤轩[出门],1,允许通过
224,336,180336,女,18金融管理,20435898,1358497,2019/4/16 0:00,飞凤轩[出门],1,允许通过
225,336,180336,女,18金融管理,20435898,1359029,2019/4/16 22:17,飞凤轩[进门],1,允许通过
226,336,180336,女,18金融管理,20435898,1360061,2019/4/17 19:25,飞凤轩[出门],1,允许通过
227,336,180336,女,18金融管理,20435898,1360566,2019/4/18 14:34,飞凤轩[出门],1,允许通过
228,336,180336,女,18金融管理,20435898,1361485,2019/4/18 21:59,飞凤轩[进门],1,允许通过
229,336,180336,女,18金融管理,20435898,1361669,2019/4/19 9:25,飞凤轩[出门],1,允许通过
230,336,180336,女,18金融管理,20435898,1362925,2019/4/20 8:29,飞凤轩[出门],1,允许通过
231,336,180336,女,18金融管理,20435898,1363197,2019/4/20 15:15,飞凤轩[进门],1,允许通过
232,336,180336,女,18金融管理,20435898,1365850,2019/4/21 0:00,飞凤轩[出门],1,允许通过
233,336,180336,女,18金融管理,20435898,1365853,2019/4/21 14:02,飞凤轩[进门],1,允许通过
234,336,180336,女,18金融管理,20435898,1367824,2019/4/22 19:57,飞凤轩[出门],1,允许通过
235,336,180336,女,18金融管理,20435898,1367907,2019/4/22 21:22,飞凤轩[进门],1,允许通过
236,336,180336,女,18金融管理,20435898,1370228,2019/4/25 19:16,飞凤轩[出门],1,允许通过
237,336,180336,女,18金融管理,20435898,1370412,2019/4/25 21:35,飞凤轩[进门],1,允许通过
238,336,180336,女,18金融管理,20435898,1370468,2019/4/25 0:00,飞凤轩[出门],1,允许通过
239,336,180336,女,18金融管理,20435898,1374252,2019/4/27 15:47,飞凤轩[出门],1,允许通过
240,387,180387,女,18审计,19622362,1366053,2019/4/21 18:39,飞凤轩[进门],0,禁止通过-没有权限
241,387,180387,女,18审计,19622362,1366054,2019/4/21 18:39,飞凤轩[进门],0,禁止通过-没有权限
242,403,180403,女,18审计,20345162,1335754,2019/4/6 16:27,飞凤轩[出门],0,禁止通过-没有权限
243,403,180403,女,18审计,20345162,1335755,2019/4/6 16:27,飞凤轩[出门],0,禁止通过-没有权限
244,403,180403,女,18审计,20345162,1335756,2019/4/6 16:27,飞凤轩[出门],0,禁止通过-没有权限
245,403,180403,女,18审计,20345162,1335757,2019/4/6 16:27,飞凤轩[出门],0,禁止通过-没有权限
246,403,180403,女,18审计,20345162,1336149,2019/4/7 6:50,飞凤轩[出门],0,禁止通过-没有权限
247,403,180403,女,18审计,20345162,1336150,2019/4/7 6:50,飞凤轩[出门],0,禁止通过-没有权限
248,403,180403,女,18审计,20345162,1336151,2019/4/7 6:50,飞凤轩[出门],0,禁止通过-没有权限
249,403,180403,女,18审计,20345162,1336152,2019/4/7 6:50,飞凤轩[出门],0,禁止通过-没有权限
250,452,180452,女,18投资与理财,18614986,1337530,2019/4/1 19:44,青鸾苑[进门],1,允许通过
251,452,180452,女,18投资与理财,18614986,1337693,2019/4/5 0:00,青鸾苑[进门],1,允许通过
252,452,180452,女,18投资与理财,18614986,1337870,2019/4/5 20:26,青鸾苑[出门],1,允许通过
253,452,180452,女,18投资与理财,18614986,1346169,2019/4/4 20:36,青鸾苑[进门],1,允许通过
254,452,180452,女,18投资与理财,18614986,1346437,2019/4/29 8:04,青鸾苑[出门],1,允许通过
255,452,180452,女,18投资与理财,18614986,1349038,2019/4/8 19:41,青鸾苑[进门],1,允许通过
256,452,180452,女,18投资与理财,18614986,1349151,2019/4/9 0:00,青鸾苑[出门],1,允许通过
257,452,180452,女,18投资与理财,18614986,1350711,2019/4/10 19:56,青鸾苑[进门],1,允许通过
258,452,180452,女,18投资与理财,18614986,1356486,2019/4/13 8:03,青鸾苑[出门],1,允许通过
259,452,180452,女,18投资与理财,18614986,1359235,2019/4/15 22:35,青鸾苑[进门],1,允许通过
260,452,180452,女,18投资与理财,18614986,1361866,2019/4/18 22:58,青鸾苑[进门],1,允许通过
261,452,180452,女,18投资与理财,18614986,1363425,2019/4/20 14:03,青鸾苑[进门],1,允许通过
262,452,180452,女,18投资与理财,18614986,1366881,2019/4/21 17:03,青鸾苑[进门],1,允许通过
263,452,180452,女,18投资与理财,18614986,1366944,2019/4/21 18:50,青鸾苑[进门],1,允许通过
264,452,180452,女,18投资与理财,18614986,1368864,2019/4/23 0:00,青鸾苑[进门],1,允许通过
265,452,180452,女,18投资与理财,18614986,1369598,2019/4/24 0:00,青鸾苑[进门],1,允许通过
266,452,180452,女,18投资与理财,18614986,1376241,2019/4/27 8:07,青鸾苑[出门],1,允许通过
267,452,180452,女,18投资与理财,18614986,1376632,2019/4/28 23:59,青鸾苑[进门],1,允许通过
268,510,180510,女,18投资与理财,18512074,1354167,2019/4/12 21:04,飞凤轩[进门],0,禁止通过-没有权限
269,518,180518,男,18电子商务,21450730,1338686,2019/4/5 11:15,第七教学楼[进门],1,允许通过
270,527,180527,男,18电子商务,21018010,1334574,2019/4/1 21:57,飞凤轩[出门],1,允许通过
271,527,180527,男,18电子商务,21018010,1334868,2019/4/5 9:46,飞凤轩[进门],1,允许通过
272,527,180527,男,18电子商务,21018010,1335773,2019/4/6 16:54,飞凤轩[进门],1,允许通过
273,527,180527,男,18电子商务,21018010,1335959,2019/4/6 19:41,飞凤轩[出门],1,允许通过
